maxeval,N,CR,F,feo
493.0, 4.0, 0.718, 1.567, 274.06
493.0, 4.0, 0.718, 1.635, 280.07
455.0, 12.0, 0.449, 1.895, 406.0
455.0, 12.0, 0.519, 1.895, 363.63
283.0, 18.0, 0.352, 1.585, 535.06
283.0, 18.0, 0.251, 1.585, 513.22
890.0, 11.0, 0.296, 0.198, 390.74
890.0, 11.0, 0.267, 0.198, 392.26
174.0, 8.0, 0.656, 0.837, 385.6
174.0, 8.0, 0.745, 0.837, 323.62
787.0, 4.0, 0.13, 1.379, 333.09
787.0, 9.0, 0.13, 1.379, 341.31
155.0, 13.0, 0.152, 1.403, 492.16
155.0, 13.0, 0.152, 1.486, 608.29
282.0, 8.0, 0.583, 1.35, 316.13
282.0, 8.0, 0.484, 1.35, 262.43
879.0, 9.0, 0.44, 0.548, 332.88
879.0, 9.0, 0.44, 0.695, 371.88
503.0, 15.0, 0.467, 1.791, 382.36
503.0, 15.0, 0.467, 1.742, 381.38
177.0, 7.0, 0.144, 0.364, 338.73
174.0, 7.0, 0.144, 0.364, 430.21
691.0, 6.0, 0.391, 1.113, 323.51
691.0, 6.0, 0.478, 1.113, 281.21
398.0, 12.0, 0.145, 0.227, 396.26
398.0, 12.0, 0.145, 0.227, 400.84
651.0, 4.0, 0.298, 0.652, 273.53
670.0, 4.0, 0.298, 0.652, 291.55
156.0, 6.0, 0.346, 0.06, 410.95
138.0, 6.0, 0.346, 0.06, 372.51
620.0, 10.0, 0.172, 0.01, 384.69
680.0, 10.0, 0.172, 0.01, 361.72
338.0, 7.0, 0.439, 0.319, 305.43
338.0, 7.0, 0.39, 0.319, 386.71
103.0, 5.0, 0.18, 1.718, 406.65
102.0, 5.0, 0.18, 1.718, 513.47
307.0, 6.0, 0.493, 0.35, 292.98
307.0, 6.0, 0.394, 0.35, 322.79
507.0, 12.0, 0.336, 1.63, 397.66
507.0, 12.0, 0.35, 1.63, 316.2
269.0, 11.0, 0.367, 0.71, 446.89
269.0, 9.0, 0.367, 0.71, 307.69
281.0, 5.0, 0.365, 0.959, 276.42
281.0, 5.0, 0.372, 0.959, 309.48
134.0, 12.0, 0.189, 0.457, 462.16
134.0, 12.0, 0.189, 0.486, 405.39
490.0, 4.0, 0.83, 1.443, 298.0
490.0, 9.0, 0.83, 1.443, 327.67
225.0, 5.0, 0.205, 0.277, 308.15
225.0, 6.0, 0.205, 0.277, 335.04
339.0, 7.0, 0.209, 1.272, 320.65
339.0, 8.0, 0.209, 1.272, 314.44
386.0, 9.0, 0.378, 1.376, 290.03
386.0, 9.0, 0.372, 1.376, 372.88
679.0, 12.0, 0.346, 0.869, 397.43
679.0, 12.0, 0.346, 0.551, 378.18
208.0, 9.0, 0.877, 0.209, 407.48
208.0, 9.0, 0.872, 0.209, 375.44
316.0, 8.0, 0.185, 0.191, 343.98
281.0, 8.0, 0.185, 0.191, 316.05
