T0,maxeval,n0,alpha,feo
67.563, 282.0, 0.664, 2.544, 335.11
67.563, 282.0, 0.664, 2.851, 355.48
0.0, 395.0, 2.336, 1.085, 398.15
0.0, 395.0, 2.077, 1.085, 315.94
0.208, 146.0, 2.485, 0.927, 357.35
0.208, 146.0, 2.485, 0.957, 350.58
0.0, 464.0, 0.53, 1.042, 343.03
0.0, 464.0, 0.638, 1.042, 318.61
0.0, 112.0, 2.412, 0.662, 387.73
0.0, 112.0, 2.412, 0.662, 381.05
0.0, 605.0, 1.636, 2.377, 326.09
0.0, 605.0, 1.899, 2.377, 361.78
0.0, 406.0, 0.632, 3.817, 346.46
0.0, 406.0, 0.603, 3.817, 311.59
0.0, 388.0, 0.947, 2.244, 360.9
0.0, 388.0, 0.947, 2.244, 372.06
537.635, 100.0, 1.087, 1.352, 1513.25
537.635, 100.0, 1.087, 1.377, 1635.76
0.0, 389.0, 0.629, 3.217, 342.14
0.0, 389.0, 0.617, 3.217, 418.82
7.883, 748.0, 0.74, 1.695, 329.05
5.91, 748.0, 0.74, 1.695, 400.42
0.0, 405.0, 0.689, 2.813, 286.64
0.0, 457.0, 0.689, 2.813, 393.78
218.601, 609.0, 0.408, 1.035, 565.7
218.601, 609.0, 0.497, 1.035, 607.85
0.0, 181.0, 1.801, 0.579, 375.37
0.0, 181.0, 1.801, 0.579, 350.0
0.95, 803.0, 0.6, 1.768, 372.71
0.95, 831.0, 0.6, 1.768, 351.02
0.531, 674.0, 0.629, 1.908, 352.54
0.621, 674.0, 0.629, 1.908, 412.75
7.592, 376.0, 1.136, 1.702, 394.01
7.592, 376.0, 1.136, 1.351, 297.29
0.425, 612.0, 2.078, 2.242, 338.1
0.425, 612.0, 2.078, 1.736, 311.62
0.0, 178.0, 1.087, 2.387, 400.78
0.0, 208.0, 1.087, 2.387, 330.25
0.307, 384.0, 1.15, 2.337, 317.78
0.307, 384.0, 1.15, 2.705, 337.44
388.616, 388.0, 0.84, 1.688, 455.87
388.616, 377.0, 0.84, 1.688, 466.94
15.717, 148.0, 0.549, 2.043, 279.3
17.961, 148.0, 0.549, 2.043, 345.2
0.164, 187.0, 2.279, 0.563, 377.33
0.2, 187.0, 2.279, 0.563, 315.63
2.414, 697.0, 1.652, 1.378, 383.54
1.613, 697.0, 1.652, 1.378, 404.02
0.001, 372.0, 0.133, 2.844, 328.65
0.001, 372.0, 0.133, 2.844, 334.25
0.0, 157.0, 1.285, 1.89, 379.11
0.0, 157.0, 1.285, 1.89, 331.77
0.0, 142.0, 1.741, 2.541, 383.33
0.0, 139.0, 1.741, 2.541, 343.39
0.0, 498.0, 0.801, 2.377, 378.78
0.0, 498.0, 0.801, 2.48, 311.21
0.0, 357.0, 1.092, 1.771, 312.0
0.0, 293.0, 1.092, 1.771, 277.77
0.0, 595.0, 0.901, 1.314, 385.29
0.0, 595.0, 0.901, 1.314, 306.22
