maxeval,N,M,Tsel1,Tsel2,feo
523.0, 4.0, 13.0, 0.044, 0.601, 286.77
523.0, 4.0, 13.0, 0.044, 0.648, 244.66
754.0, 4.0, 15.0, 0.199, 0.866, 278.71
754.0, 4.0, 14.0, 0.199, 0.866, 240.12
450.0, 5.0, 11.0, 0.115, 0.52, 250.68
450.0, 5.0, 11.0, 0.141, 0.52, 235.12
414.0, 7.0, 12.0, 0.091, 1.086, 233.29
397.0, 7.0, 12.0, 0.091, 1.086, 233.27
884.0, 7.0, 16.0, 0.096, 1.097, 266.88
884.0, 7.0, 15.0, 0.096, 1.097, 291.71
445.0, 5.0, 10.0, 0.057, 0.508, 254.5
445.0, 5.0, 10.0, 0.06, 0.508, 272.42
378.0, 6.0, 10.0, 0.068, 0.393, 236.99
378.0, 6.0, 10.0, 0.058, 0.393, 221.5
349.0, 6.0, 14.0, 0.21, 0.915, 232.46
349.0, 6.0, 14.0, 0.198, 0.915, 225.39
163.0, 4.0, 10.0, 0.033, 1.572, 254.29
163.0, 4.0, 10.0, 0.034, 1.572, 273.63
145.0, 6.0, 10.0, 0.227, 0.443, 273.96
150.0, 6.0, 10.0, 0.227, 0.443, 239.61
583.0, 6.0, 15.0, 0.056, 1.069, 232.55
583.0, 6.0, 15.0, 0.058, 1.069, 246.81
234.0, 5.0, 12.0, 0.063, 0.332, 236.92
234.0, 5.0, 13.0, 0.063, 0.332, 219.34
115.0, 6.0, 11.0, 0.063, 0.855, 239.19
115.0, 6.0, 11.0, 0.071, 0.855, 237.28
429.0, 4.0, 16.0, 0.074, 1.289, 253.16
429.0, 4.0, 16.0, 0.091, 1.289, 267.51
389.0, 4.0, 15.0, 0.109, 1.062, 228.49
389.0, 4.0, 15.0, 0.109, 1.172, 259.43
230.0, 4.0, 18.0, 0.138, 1.326, 219.35
230.0, 4.0, 17.0, 0.138, 1.326, 242.5
379.0, 4.0, 13.0, 0.116, 0.536, 250.96
510.0, 4.0, 13.0, 0.116, 0.536, 235.86
507.0, 4.0, 11.0, 0.094, 1.445, 252.57
507.0, 4.0, 12.0, 0.094, 1.445, 231.34
864.0, 5.0, 10.0, 0.033, 1.289, 263.72
864.0, 4.0, 10.0, 0.033, 1.289, 273.54
630.0, 6.0, 14.0, 0.147, 0.418, 248.45
630.0, 6.0, 14.0, 0.147, 0.387, 265.95
133.0, 8.0, 10.0, 0.109, 0.631, 232.93
133.0, 8.0, 10.0, 0.109, 0.726, 236.49
510.0, 6.0, 10.0, 0.041, 0.694, 236.79
600.0, 6.0, 10.0, 0.041, 0.694, 282.12
746.0, 4.0, 14.0, 0.132, 0.861, 256.31
746.0, 4.0, 13.0, 0.132, 0.861, 272.08
242.0, 4.0, 10.0, 0.126, 0.513, 258.41
242.0, 4.0, 10.0, 0.126, 0.47, 241.19
634.0, 5.0, 10.0, 0.11, 0.529, 247.7
634.0, 6.0, 10.0, 0.11, 0.529, 293.08
561.0, 6.0, 10.0, 0.13, 1.331, 239.85
561.0, 6.0, 10.0, 0.13, 1.162, 246.64
278.0, 5.0, 12.0, 0.049, 0.959, 211.84
278.0, 5.0, 12.0, 0.049, 1.003, 230.14
163.0, 6.0, 14.0, 0.162, 0.483, 223.82
163.0, 6.0, 14.0, 0.159, 0.483, 203.89
103.0, 5.0, 12.0, 0.076, 0.699, 259.59
103.0, 5.0, 13.0, 0.076, 0.699, 259.94
534.0, 6.0, 12.0, 0.12, 0.821, 243.19
534.0, 7.0, 12.0, 0.12, 0.821, 256.67
