maxeval,hmax,random_descent,feo
179.0, 5.0, 0.0, 199.49
177.0, 5.0, 0.0, 183.9
181.0, 4.0, 1.0, 386.26
181.0, 3.0, 1.0, 557.07
443.0, 1.0, 1.0, 3316.25
443.0, 1.0, 0.0, 1798.86
710.0, 0.0, 1.0, 1380.86
707.0, 0.0, 1.0, 1708.21
307.0, 1.0, 1.0, 1729.92
307.0, 1.0, 0.0, 1576.44
465.0, 0.0, 0.0, 1220.58
465.0, 0.0, 1.0, 1128.11
661.0, 1.0, 1.0, 1553.47
661.0, 0.0, 1.0, 1253.75
532.0, 2.0, 0.0, 821.09
532.0, 2.0, 1.0, 758.8
252.0, 0.0, 1.0, 1359.83
252.0, 0.0, 0.0, 1412.52
218.0, 0.0, 1.0, 1430.69
218.0, 10.0, 1.0, 153.98
120.0, 1.0, 1.0, 878.0
120.0, 2.0, 1.0, 1629.36
494.0, 0.0, 0.0, 1259.66
411.0, 0.0, 0.0, 1140.85
331.0, 0.0, 1.0, 1386.46
331.0, 13.0, 1.0, 178.64
158.0, 0.0, 0.0, 1105.26
158.0, 18.0, 0.0, 178.2
254.0, 5.0, 1.0, 230.21
254.0, 5.0, 0.0, 181.5
231.0, 0.0, 1.0, 1898.02
224.0, 0.0, 1.0, 1008.94
805.0, 0.0, 1.0, 1529.07
805.0, 5.0, 1.0, 354.83
548.0, 1.0, 0.0, 1300.28
548.0, 2.0, 0.0, 633.04
330.0, 13.0, 0.0, 177.45
411.0, 13.0, 0.0, 233.64
149.0, 8.0, 0.0, 192.01
144.0, 8.0, 0.0, 167.81
160.0, 3.0, 0.0, 316.94
160.0, 2.0, 0.0, 743.59
761.0, 1.0, 0.0, 1072.46
761.0, 0.0, 0.0, 1162.43
288.0, 4.0, 0.0, 260.69
288.0, 4.0, 1.0, 672.65
353.0, 0.0, 0.0, 1259.79
245.0, 0.0, 0.0, 1508.76
879.0, 0.0, 1.0, 1169.92
873.0, 0.0, 1.0, 1737.09
444.0, 0.0, 0.0, 1339.35
432.0, 0.0, 0.0, 983.04
362.0, 1.0, 1.0, 1460.56
362.0, 0.0, 1.0, 1540.78
592.0, 2.0, 1.0, 1933.33
674.0, 2.0, 1.0, 4359.0
643.0, 5.0, 1.0, 373.15
643.0, 5.0, 0.0, 261.22
659.0, 4.0, 1.0, 423.9
670.0, 4.0, 1.0, 531.46
