,of,heur,run,best_x,best_y,maxeval,neval,N,CR,F
0,dartsscore,DE_N=10_CR=0_F=0.1,10539,"[0.0921977299999992, -0.05012000000000005]",[-48.685],1000,inf,10,0.0,0.1
1,dartsscore,DE_N=10_CR=0_F=0.1,10540,"[1.3402492358000018, -0.5889062746999997]",[-48.04],1000,inf,10,0.0,0.1
2,dartsscore,DE_N=10_CR=0_F=0.1,10541,"[0.20537499999999864, 0.15722544760000232]",[-48.6825],1000,inf,10,0.0,0.1
3,dartsscore,DE_N=10_CR=0_F=0.1,10542,"[0.09630103378950292, -0.005282417731516033]",[-48.685],1000,inf,10,0.0,0.1
4,dartsscore,DE_N=10_CR=0_F=0.1,10543,"[-0.02554391200000021, 0.0897442300000002]",[-48.64],1000,inf,10,0.0,0.1
5,dartsscore,DE_N=10_CR=0_F=0.1,10544,"[0.2098129999399997, 0.15621138999999773]",[-48.6825],1000,inf,10,0.0,0.1
6,dartsscore,DE_N=10_CR=0_F=0.1,10545,"[-106.00945052380317, 32.158351837999994]",[-38.5],1000,inf,10,0.0,0.1
7,dartsscore,DE_N=10_CR=0_F=0.1,10546,"[7.388770805, 111.794094]",[-53.9023],1000,468.0,10,0.0,0.1
8,dartsscore,DE_N=10_CR=0_F=0.1,10547,"[0.2308802783236089, -0.9569764514575454]",[-48.265],1000,inf,10,0.0,0.1
9,dartsscore,DE_N=10_CR=0_F=0.1,10548,"[0.214081951999999, 0.10224200391943944]",[-48.6825],1000,inf,10,0.0,0.1
10,dartsscore,DE_N=10_CR=0_F=0.1,10549,"[-0.10981006423000128, 0.24099999999999955]",[-48.705],1000,inf,10,0.0,0.1
11,dartsscore,DE_N=10_CR=0_F=0.1,10550,"[-26.45512109973, -107.92489799999998]",[-52.1322],1000,inf,10,0.0,0.1
12,dartsscore,DE_N=10_CR=0_F=0.1,10551,"[1.2182472899999996, 113.39908234987074]",[-49.268],1000,inf,10,0.0,0.1
13,dartsscore,DE_N=10_CR=0_F=0.1,10552,"[-2.7388379, 112.1035699]",[-53.12],1000,340.0,10,0.0,0.1
14,dartsscore,DE_N=10_CR=0_F=0.1,10553,"[0.29872500000000085, 0.42833480000000035]",[-48.6125],1000,inf,10,0.0,0.1
15,dartsscore,DE_N=10_CR=0_F=0.1,10554,"[-27.194779999999998, -107.44783799999998]",[-52.231],1000,inf,10,0.0,0.1
16,dartsscore,DE_N=10_CR=0_F=0.1,10555,"[0.01154969100000057, -0.46099999999999997]",[-48.5525],1000,inf,10,0.0,0.1
17,dartsscore,DE_N=10_CR=0_F=0.1,10556,"[-1.8539739999999973, 111.83030946]",[-53.82],1000,449.0,10,0.0,0.1
18,dartsscore,DE_N=10_CR=0_F=0.1,10557,"[-0.16970833999999893, 0.2300432166182021]",[-48.705],1000,inf,10,0.0,0.1
19,dartsscore,DE_N=10_CR=0_F=0.1,10558,"[-0.3989794599999973, 0.621095]",[-48.54],1000,inf,10,0.0,0.1
0,dartsscore,DE_N=10_CR=0_F=0.5,10559,"[3.251562499999997, 111.303125]",[-54.484],1000,401.0,10,0.0,0.5
1,dartsscore,DE_N=10_CR=0_F=0.5,10560,"[-39.618750000000006, -102.556787109375]",[-50.8706],1000,inf,10,0.0,0.5
2,dartsscore,DE_N=10_CR=0_F=0.5,10561,"[-46.0109375, -101.23749999999998]",[-50.9974],1000,inf,10,0.0,0.5
3,dartsscore,DE_N=10_CR=0_F=0.5,10562,"[7.853124999999993, 110.54414062500004]",[-55.0909],1000,726.0,10,0.0,0.5
